name,artist_id,url,mbid,tag
LaLa Brown,3xRMVGNbcAVShBZ26t2Bm5,https://open.spotify.com/artist/3xRMVGNbcAVShBZ26t2Bm5,,
AFI,19I4tYiChJoxEO5EuviXpz,https://open.spotify.com/artist/19I4tYiChJoxEO5EuviXpz,1c3919b2-43ca-4a4a-935d-9d50135ec0ef,punk
Rick Ross,1sBkRIssrMs1AbVkOJbc7a,https://open.spotify.com/artist/1sBkRIssrMs1AbVkOJbc7a,13bcb2bb-db37-4397-baf5-e0f085be2d64,hip hop
Breaking Benjamin,5BtHciL0e0zOP7prIHn3pP,https://open.spotify.com/artist/5BtHciL0e0zOP7prIHn3pP,854a1807-025b-42a8-ba8c-2a39717f1d25,alternative metal
Chris Brown,7bXgB6jMjp9ATFy66eO08Z,https://open.spotify.com/artist/7bXgB6jMjp9ATFy66eO08Z,c234fa42-e6a6-443e-937e-2f4b073538a3,pop
Josh Turner,7vCtweS8UVAXTyau2j0rDT,https://open.spotify.com/artist/7vCtweS8UVAXTyau2j0rDT,3c418647-3aa0-4f0b-b043-306f47855f52,country
John Mayer,0hEurMDQu99nJRq8pTxO14,https://open.spotify.com/artist/0hEurMDQu99nJRq8pTxO14,144ef525-85e9-40c3-8335-02c32d0861f3,acoustic rock
Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O,https://open.spotify.com/artist/3grHWM9bx2E9vwJCdlRv9O,5dca4d22-d6c8-4e70-8ca1-4543e43353c7,country
LeToya,5xenrbYhp4IRydrWpBe4Bx,https://open.spotify.com/artist/5xenrbYhp4IRydrWpBe4Bx,b2f1149b-171a-4bc5-ac8f-3baf9a566abf,hip hop
Little Big Town,3CygdxquGHurS7f9LjNLkv,https://open.spotify.com/artist/3CygdxquGHurS7f9LjNLkv,76e78b58-f301-4975-8058-7f84d8360738,country
Brad Paisley,13YmWQJFwgZrd4bf5IjMY4,https://open.spotify.com/artist/13YmWQJFwgZrd4bf5IjMY4,6cfd7ffc-824f-4219-8e27-4b9417700f44,country
The Raconteurs,4wo1267SJuUfHgasdlfNfc,https://open.spotify.com/artist/4wo1267SJuUfHgasdlfNfc,be407b02-f3e6-4ed5-9489-f8e5f0ab36dc,indie rock
Gary Allan,37W8SKV5Vc8lcGtdyWCA5m,https://open.spotify.com/artist/37W8SKV5Vc8lcGtdyWCA5m,d211333a-22eb-4be7-a2ac-ca12c73646db,country
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,https://open.spotify.com/artist/2bA6fzP0lMAQ4kz6CF61w8,2f951906-5629-4fef-a260-5033151c162a,country
Three Days Grace,2xiIXseIJcq3nG7C8fHeBj,https://open.spotify.com/artist/2xiIXseIJcq3nG7C8fHeBj,fabb37f8-eb2a-4cc1-a72a-b56935bbb72d,alternative rock
Buckcherry,0yN7xI1blow9nYIK0R8nM7,https://open.spotify.com/artist/0yN7xI1blow9nYIK0R8nM7,822e92ef-72ea-42e0-9af1-b987816b487a,hard rock
Mario Vazquez,7iMjWsjqbmYLobomSh4B64,https://open.spotify.com/artist/7iMjWsjqbmYLobomSh4B64,,
Stone Sour,49qiE8dj4JuNdpYGRPdKbF,https://open.spotify.com/artist/49qiE8dj4JuNdpYGRPdKbF,4ca783b7-5bf7-4348-b494-46680660050f,alternative metal
Busta Rhymes,1YfEcTuGvBQ8xSD1f53UnK,https://open.spotify.com/artist/1YfEcTuGvBQ8xSD1f53UnK,10a9ff92-9637-4498-afea-7044b2ab0dc0,hip hop
will.i.am,085pc2PYOi8bGKj0PNjekA,https://open.spotify.com/artist/085pc2PYOi8bGKj0PNjekA,d574c9bd-46f6-440a-8d6a-8412a283eeb1,hip hop
Faith Hill,25NQNriVT2YbSW80ILRWJa,https://open.spotify.com/artist/25NQNriVT2YbSW80ILRWJa,406552d4-5ba1-4226-b7c0-367bc50fc767,country
Paula DeAnda,54kWB5z9SbenPFQXtBDUBK,https://open.spotify.com/artist/54kWB5z9SbenPFQXtBDUBK,a92f28a4-ee02-4d95-a685-b505a078faaf,
Baby Bash,12PSlydMSjEHzSCj9X5qv7,https://open.spotify.com/artist/12PSlydMSjEHzSCj9X5qv7,1fe6717a-73b5-4e70-82c5-6b83a08c997d,contemporary r&b
Heartland,6B10yUcmUVw4RPKe6j58E9,https://open.spotify.com/artist/6B10yUcmUVw4RPKe6j58E9,,
Ashlee Simpson,4hqDqHtBlgxXpLXVYf7c8L,https://open.spotify.com/artist/4hqDqHtBlgxXpLXVYf7c8L,463c514e-c30d-4a2a-a87b-762535253a80,pop rock
Brooks & Dunn,0XKOBt59crntr7HQXXO8Yz,https://open.spotify.com/artist/0XKOBt59crntr7HQXXO8Yz,f30118c5-f783-4969-8427-f3c096378267,country
Anna Nalick,4LoM3lMauQ540MW9QiyIcR,https://open.spotify.com/artist/4LoM3lMauQ540MW9QiyIcR,852fb986-b0d9-4529-adaf-4f38bc1b1040,pop rock
Carrie Underwood,4xFUf1FHVy696Q1JQZMTRj,https://open.spotify.com/artist/4xFUf1FHVy696Q1JQZMTRj,70f0e309-5418-49b6-a130-666e2f76eecd,country
The Goo Goo Dolls,2sil8z5kiy4r76CRTXxBCA,https://open.spotify.com/artist/2sil8z5kiy4r76CRTXxBCA,e2c00c56-8365-4160-9f40-a64682917633,alternative rock
Trace Adkins,79FMDwzZQxHgSkIYBl3ODU,https://open.spotify.com/artist/79FMDwzZQxHgSkIYBl3ODU,3dc9c919-508f-4255-b05e-0eed6a28137d,country
Taking Back Sunday,24XtlMhEMNdi822vi0MhY1,https://open.spotify.com/artist/24XtlMhEMNdi822vi0MhY1,350bce49-c21b-4137-b50a-0766ded07e4d,emo
Corinne Bailey Rae,29WzbAQtDnBJF09es0uddn,https://open.spotify.com/artist/29WzbAQtDnBJF09es0uddn,bc85c6f6-6b06-44c1-8754-ef32c1e6b824,soul
Omarion,0f5nVCcR06GX8Qikz0COtT,https://open.spotify.com/artist/0f5nVCcR06GX8Qikz0COtT,3ca09fae-fdee-4771-bab9-244708515a98,contemporary r&b
Thirty Seconds To Mars,0RqtSIYZmd4fiBKVFqyIqD,https://open.spotify.com/artist/0RqtSIYZmd4fiBKVFqyIqD,d8354b38-e942-4c89-ba93-29323432abc3,alternative rock
Mary J. Blige,1XkoF8ryArs86LZvFOkbyr,https://open.spotify.com/artist/1XkoF8ryArs86LZvFOkbyr,db76c5ca-d555-4f09-b1db-baa1b713d875,contemporary r&b
